Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
37,Jeff Malone,31,UTA,SG,79,59,32.4,7.5,15.3,0.494,0,0.1,0.333,7.5,15.1,0.495,0.495,3,3.5,0.852,0.4,1.8,2.2,1.6,0.5,0.1,1.6,1.5,18.1,
38,Ron Harper,29,LAC,SG,80,77,37.1,6.8,15,0.451,0.7,2.3,0.28,6.1,12.7,0.482,0.472,3.8,5,0.769,1.5,3.9,5.3,4.5,2.2,0.9,2.8,2.7,18,
39,Lionel Simmons,24,SAC,SF,69,68,36.3,6.8,15.3,0.444,0,0.2,0.091,6.8,15.1,0.447,0.444,4.3,5.3,0.819,2.3,4.9,7.2,4.5,1.4,0.6,2.8,2.9,17.9,
40,Kevin Willis,30,ATL,PF,80,80,36,7.7,15.2,0.506,0.1,0.4,0.241,7.6,14.9,0.512,0.509,2.5,3.8,0.653,4.2,8.7,12.9,2.1,0.9,0.5,2.7,3.3,17.9,
41,Shawn Kemp,23,SEA,PF,78,68,33.1,6.6,13.4,0.492,0,0.1,0,6.6,13.4,0.494,0.492,4.6,6.4,0.712,3.7,7,10.7,2,1.5,1.9,2.8,4.2,17.8,"MVP-10,AS"
42,Isiah Thomas,31,DET,PG,79,79,37,6.7,15.9,0.418,0.8,2.5,0.308,5.9,13.4,0.439,0.442,3.5,4.8,0.737,0.9,2,2.9,8.5,1.6,0.2,3.6,2.8,17.6,AS
43,John Starks,27,NYK,SG,80,51,31,6.4,15,0.428,1.4,4.2,0.321,5.1,10.8,0.469,0.473,3.3,4.1,0.795,0.7,1.9,2.6,5.1,1.1,0.2,2.2,2.9,17.5,"DPOY-5,DEF2"
44,Pervis Ellison,25,WSB,C,49,48,34.7,7,13.4,0.521,0,0.1,0,7,13.3,0.524,0.521,3.5,4.9,0.702,2.8,6,8.8,2.4,0.9,2.2,2.2,3.1,17.4,
45,Šarūnas Marčiulionis,28,GSW,SF,30,8,27.9,5.9,10.9,0.543,0.1,0.5,0.2,5.8,10.4,0.559,0.547,5.4,7.1,0.761,1.3,1.9,3.2,3.5,1.7,0.1,2.5,3.1,17.4,
46,Sean Elliott,24,SAS,SF,70,70,37.2,6.4,13.1,0.491,0.5,1.5,0.356,5.9,11.6,0.509,0.511,3.8,4.8,0.795,1.2,3.4,4.6,3.8,1,0.4,2.2,1.9,17.2,AS
47,Rony Seikaly,27,MIA,C,72,64,34.1,5.8,12.1,0.48,0,0.1,0.125,5.8,11.9,0.484,0.481,5.5,7.5,0.735,3.6,8.2,11.8,1.4,0.5,1.2,2.8,3.6,17.1,
48,Reggie Williams,28,DEN,SF,79,79,34.5,6.8,14.8,0.458,0.4,1.5,0.27,6.4,13.2,0.48,0.473,3,3.7,0.804,1.7,3.7,5.4,3.7,1.6,1,2.5,3.6,17,
49,Walt Williams,22,SAC,SF,59,26,28.4,6.1,13.9,0.435,1,3.2,0.319,5,10.7,0.47,0.472,3.8,5.1,0.742,1.9,2.5,4.5,3,1.1,0.5,3,3.5,17,
50,Kenny Anderson,22,NJN,PG,55,55,36.5,6.7,15.5,0.435,0.1,0.5,0.28,6.6,15,0.44,0.439,3.3,4.2,0.776,0.9,3.2,4.1,8.2,1.7,0.2,2.8,2.5,16.9,
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
51,Frank Brickowski,33,MIL,C,66,64,31.4,6.9,12.7,0.545,0.1,0.4,0.308,6.8,12.3,0.553,0.55,3,4.1,0.728,1.8,4.3,6.1,3,1.2,0.7,3.1,3.6,16.9,
52,Blue Edwards,27,MIL,SF,82,81,33.3,6.8,13.2,0.512,0.5,1.3,0.349,6.3,11.9,0.529,0.529,2.9,3.7,0.79,1.5,3.2,4.7,2.6,1.6,0.5,2.1,3,16.9,
53,Kendall Gill,24,CHH,SG,69,67,35.2,6.7,15,0.449,0.2,0.9,0.274,6.5,14.1,0.46,0.457,3.2,4.2,0.772,1.7,3.2,4.9,3.9,1.4,0.5,2.5,2.8,16.9,
54,Dan Majerle,27,PHO,SG,82,82,39,6.2,13.4,0.464,2,5.3,0.381,4.2,8,0.52,0.541,2.5,3.2,0.778,1.5,3.2,4.7,3.8,1.7,0.4,1.6,2.2,16.9,"DPOY-5,AS,DEF2"
55,Chuck Person,28,MIN,SF,78,75,38.3,6.9,16,0.433,1.5,4.3,0.355,5.4,11.7,0.462,0.481,1.4,2.2,0.649,1.3,4.3,5.6,4.4,0.9,0.4,2.8,2.5,16.8,
56,Dale Ellis,32,SAS,SG,82,76,33.3,6.6,13.3,0.499,1.5,3.6,0.401,5.2,9.7,0.536,0.554,1.9,2.4,0.797,1,2.8,3.8,1.3,1,0.2,1.4,2.2,16.7,
57,Wayman Tisdale,28,SAC,PF,76,75,30,7.2,14.1,0.509,0,0,0,7.2,14,0.51,0.509,2.3,3,0.758,1.7,4.9,6.6,1.4,0.7,0.6,1.5,3.6,16.6,
58,Larry Nance,33,CLE,PF,77,77,35.8,6.9,12.6,0.549,0,0.1,0,6.9,12.6,0.551,0.549,2.6,3.2,0.818,2.4,6.3,8.7,2.9,0.7,2.6,1.4,2.9,16.5,"AS,DEF2"
59,Billy Owens,23,GSW,PF,37,37,32.5,6.7,13.3,0.501,0,0.3,0.091,6.6,13,0.51,0.502,3.2,4.9,0.639,2.9,4.2,7.1,3.9,0.9,0.8,2.9,2.8,16.5,
60,Jim Jackson,22,DAL,SF,28,28,33.5,6.6,16.6,0.395,0.8,2.6,0.288,5.8,14,0.415,0.417,2.4,3.3,0.739,1.5,2.9,4.4,4.7,1.4,0.4,4.1,2.9,16.3,
61,Kevin Johnson,26,PHO,PG,49,47,33.5,5.8,11.5,0.499,0,0.2,0.125,5.7,11.4,0.504,0.5,4.6,5.6,0.819,0.6,1.5,2.1,7.8,1.7,0.4,3.1,2,16.1,
62,Steve Smith,23,MIA,SG,48,43,33.5,5.8,12.9,0.451,1.1,2.8,0.402,4.7,10.1,0.464,0.494,3.2,4.1,0.787,1.2,2.9,4.1,5.6,1,0.3,2.7,3.1,16,
63,Dennis Scott,24,ORL,SF,54,43,32.6,6.1,14.1,0.431,2,5,0.403,4.1,9.2,0.446,0.502,1.7,2.2,0.786,0.7,2.7,3.4,2.5,1.1,0.3,1.9,2.4,15.9,
64,Richard Dumas,23,PHO,SF,48,32,27.5,6.3,12,0.524,0,0.1,0.333,6.3,11.9,0.525,0.525,3.2,4.5,0.707,2.1,2.6,4.6,1.3,1.8,0.8,1.9,2.6,15.8,
65,Clarence Weatherspoon,22,PHI,SF,82,82,32.4,6,12.8,0.469,0,0,0.25,6,12.8,0.47,0.47,3.5,5,0.713,2.2,5,7.2,1.8,1,0.8,2.1,2.3,15.6,
